[7/22/2025 6:56:21 PM] [INFO] received Windows console close event; shutting log-core down
[7/22/2025 6:57:00 PM] [INFO] received Windows console close event; shutting log-core down
[7/22/2025 6:57:29 PM] [INFO] received Windows console close event; shutting log-core down
[7/22/2025 7:06:29 PM] [INFO] received Windows console close event; shutting log-core down
[7/22/2025 7:06:40 PM] [INFO] received Windows console close event; shutting log-core down
[7/22/2025 7:09:15 PM] [INFO] received Windows console close event; shutting log-core down
[7/22/2025 7:09:28 PM] [INFO] received Windows console close event; shutting log-core down
[7/22/2025 7:09:38 PM] [INFO] received Windows console close event; shutting log-core down
[7/22/2025 7:09:50 PM] [INFO] received Windows console close event; shutting log-core down
[7/22/2025 7:10:12 PM] [INFO] received Windows console close event; shutting log-core down
[7/22/2025 7:10:29 PM] [INFO] received Windows console close event; shutting log-core down
[7/22/2025 7:10:47 PM] [INFO] received Windows console close event; shutting log-core down
[7/22/2025 7:11:01 PM] [INFO] received Windows console close event; shutting log-core down
[7/22/2025 7:11:10 PM] [INFO] received Windows console close event; shutting log-core down
[7/22/2025 7:12:18 PM] [INFO] received Windows console close event; shutting log-core down
[7/22/2025 7:12:32 PM] [INFO] received Windows console close event; shutting log-core down
[7/22/2025 7:12:56 PM] [INFO] received Windows console close event; shutting log-core down
[7/22/2025 7:19:36 PM] [INFO] received Windows console close event; shutting log-core down
[7/22/2025 7:21:34 PM] [INFO] received Windows console close event; shutting log-core down
[7/22/2025 7:21:58 PM] [INFO] received Windows console close event; shutting log-core down
[7/22/2025 7:27:10 PM] [INFO] received Windows console close event; shutting log-core down
[7/22/2025 7:28:09 PM] [INFO] received Windows console close event; shutting log-core down
[7/22/2025 7:28:28 PM] [INFO] received Windows console close event; shutting log-core down
[7/22/2025 7:53:36 PM] [INFO] received Windows console close event; shutting log-core down
[7/22/2025 7:53:59 PM] [INFO] received Windows console close event; shutting log-core down
